        Frequency / GHz                VSWR1/abs,linear
               3.4426701                       2.0143089
               3.4428799                       2.0100575
                 3.44309                       2.0058127
                  3.4433                       2.0015751
               3.4435101                       1.9973442
               3.4437201                       1.9931204
               3.4439299                       1.9889035
                 3.44414                       1.9846933
                 3.44435                       1.9804903
               3.4445601                       1.9762941
               3.4447701                       1.9721046
               3.4449799                       1.9679224
                 3.44519                       1.9637467
                  3.4454                       1.9595782
                 3.44561                       1.9554164
               3.4458201                       1.9512615
               3.4460299                       1.9471138
               3.4462399                       1.9429727
                 3.44645                       1.9388382
                 3.44666                        1.934711
               3.4468701                       1.9305908
               3.4470799                       1.9264774
               3.4472899                       1.9223707
                  3.4475                       1.9182709
                 3.44771                       1.9141779
               3.4479201                        1.910092
               3.4481299                       1.9060129
               3.4483399                       1.9019407
                 3.44855                       1.8978754
                 3.44876                       1.8938171
               3.4489701                       1.8897654
               3.4491799                       1.8857207
               3.4493899                       1.8816829
                  3.4496                       1.8776521
                 3.44981                       1.8736281
               3.4500201                       1.8696108
               3.4502299                       1.8656006
               3.4504399                       1.8615969
                 3.45065                       1.8576005
                 3.45086                       1.8536107
               3.4510701                        1.849628
               3.4512801                        1.845652
               3.4514899                       1.8416829
                  3.4517                       1.8377206
                 3.45191                       1.8337652
               3.4521201                       1.8298165
               3.4523301                       1.8258751
               3.4525399                       1.8219402
                 3.45275                       1.8180123
                 3.45296                        1.814091
               3.4531701                       1.8101767
               3.4533801                       1.8062694
               3.4535899                       1.8023688
                  3.4538                       1.7984751
                 3.45401                       1.7945881
               3.4542201                        1.790708
               3.4544301                        1.786835
               3.4546399                       1.7829686
                 3.45485                        1.779109
                 3.45506                       1.7752562
               3.4552701                       1.7714105
               3.4554801                       1.7675714
               3.4556899                       1.7637392
                  3.4559                       1.7599139
                 3.45611                       1.7560954
                 3.45632                       1.7522835
               3.4565301                       1.7484786
               3.4567399                       1.7446806
               3.4569499                       1.7408893
                 3.45716                       1.7371049
                 3.45737                       1.7333272
               3.4575801                       1.7295564
               3.4577899                       1.7257923
               3.4579999                       1.7220353
                 3.45821                       1.7182849
                 3.45842                       1.7145413
               3.4586301                       1.7108044
               3.4588399                       1.7070745
               3.4590499                       1.7033514
                 3.45926                        1.699635
                 3.45947                       1.6959253
               3.4596801                       1.6922226
               3.4598899                       1.6885265
               3.4600999                       1.6848372
                 3.46031                       1.6811549
                 3.46052                       1.6774792
               3.4607301                       1.6738103
               3.4609399                       1.6701482
               3.4611499                        1.666493
                 3.46136                       1.6628444
                 3.46157                       1.6592027
               3.4617801                       1.6555676
               3.4619901                       1.6519393
               3.4621999                       1.6483179
                 3.46241                       1.6447032
                 3.46262                       1.6410953
               3.4628301                       1.6374941
               3.4630401                       1.6338996
               3.4632499                        1.630312
                 3.46346                        1.626731
                 3.46367                       1.6231569
               3.4638801                       1.6195894
               3.4640901                       1.6160288
               3.4642999                       1.6124749
                 3.46451                       1.6089277
                 3.46472                       1.6053872
               3.4649301                       1.6018534
               3.4651401                       1.5983264
               3.4653499                       1.5948062
                 3.46556                       1.5912927
                 3.46577                       1.5877858
               3.4659801                       1.5842857
               3.4661901                       1.5807923
               3.4663999                       1.5773056
                 3.46661                       1.5738257
                 3.46682                       1.5703525
                 3.46703                       1.5668859
               3.4672401                       1.5634261
               3.4674499                       1.5599729
                 3.46766                       1.5565265
                 3.46787                       1.5530868
                 3.46808                       1.5496538
               3.4682901                       1.5462274
               3.4684999                       1.5428078
               3.4687099                       1.5393948
                 3.46892                       1.5359885
                 3.46913                       1.5325889
               3.4693401                        1.529196
               3.4695499                       1.5258098
               3.4697599                       1.5224302
                 3.46997                       1.5190574
                 3.47018                       1.5156911
               3.4703901                       1.5123315
               3.4705999                       1.5089787
               3.4708099                       1.5056325
                 3.47102                       1.5022929
                 3.47123                         1.49896
               3.4714401                       1.4956338
               3.4716499                       1.4923141
               3.4718599                       1.4890012
                 3.47207                       1.4856949
                 3.47228                       1.4823952
               3.4724901                       1.4791022
               3.4727001                       1.4758158
               3.4729099                       1.4725361
                 3.47312                        1.469263
                 3.47333                       1.4659965
               3.4735401                       1.4627368
               3.4737501                       1.4594835
               3.4739599                       1.4562369
                 3.47417                        1.452997
                 3.47438                       1.4497636
               3.4745901                        1.446537
               3.4748001                       1.4433169
               3.4750099                       1.4401034
                 3.47522                       1.4368966
                 3.47543                       1.4336963
               3.4756401                       1.4305027
               3.4758501                       1.4273156
               3.4760599                       1.4241353
                 3.47627                       1.4209615
                 3.47648                       1.4177943
               3.4766901                       1.4146337
               3.4769001                       1.4114797
               3.4771099                       1.4083323
                 3.47732                       1.4051915
                 3.47753                       1.4020573
                 3.47774                       1.3989297
               3.4779501                       1.3958087
               3.4781599                       1.3926944
                 3.47837                       1.3895865
                 3.47858                       1.3864853
                 3.47879                       1.3833907
               3.4790001                       1.3803027
               3.4792099                       1.3772212
               3.4794199                       1.3741464
                 3.47963                       1.3710783
