        Frequency / GHz                S1,1/abs,dB
               3.4395199                      -9.1082362
               3.4397299                      -9.1310731
                 3.43994                          -9.154
                 3.44015                      -9.1770156
               3.4403601                      -9.2001195
               3.4405701                      -9.2233163
               3.4407799                      -9.2466029
                 3.44099                      -9.2699786
                  3.4412                      -9.2934496
               3.4414101                      -9.3170102
               3.4416201                      -9.3406657
               3.4418299                      -9.3644138
                 3.44204                      -9.3882539
                 3.44225                      -9.4121913
               3.4424601                      -9.4362245
               3.4426701                      -9.4603507
               3.4428799                      -9.4845738
                 3.44309                      -9.5088961
                  3.4433                      -9.5333138
               3.4435101                      -9.5578311
               3.4437201                      -9.5824459
               3.4439299                      -9.6071594
                 3.44414                       -9.631974
                 3.44435                      -9.6568882
               3.4445601                      -9.6819039
               3.4447701                      -9.7070218
               3.4449799                      -9.7322404
                 3.44519                      -9.7575635
                  3.4454                       -9.782989
                 3.44561                      -9.8085197
               3.4458201                      -9.8341556
               3.4460299                       -9.859895
               3.4462399                      -9.8857423
                 3.44645                      -9.9116984
                 3.44666                        -9.93776
               3.4468701                      -9.9639285
               3.4470799                      -9.9902069
               3.4472899                      -10.016596
                  3.4475                      -10.043095
                 3.44771                      -10.069707
               3.4479201                      -10.096428
               3.4481299                      -10.123263
               3.4483399                      -10.150211
                 3.44855                      -10.177273
                 3.44876                      -10.204449
               3.4489701                      -10.231742
               3.4491799                       -10.25915
               3.4493899                      -10.286675
                  3.4496                      -10.314318
                 3.44981                      -10.342079
               3.4500201                      -10.369961
               3.4502299                      -10.397962
               3.4504399                      -10.426087
                 3.45065                       -10.45433
                 3.45086                      -10.482697
               3.4510701                      -10.511187
               3.4512801                      -10.539802
               3.4514899                      -10.568543
                  3.4517                      -10.597409
                 3.45191                      -10.626402
               3.4521201                      -10.655524
               3.4523301                      -10.684772
               3.4525399                      -10.714152
                 3.45275                      -10.743661
                 3.45296                      -10.773304
               3.4531701                      -10.803077
               3.4533801                      -10.832983
               3.4535899                      -10.863025
                  3.4538                      -10.893201
                 3.45401                      -10.923515
               3.4542201                      -10.953965
               3.4544301                      -10.984552
               3.4546399                      -11.015279
                 3.45485                      -11.046147
                 3.45506                      -11.077157
               3.4552701                      -11.108306
               3.4554801                      -11.139601
               3.4556899                      -11.171039
                  3.4559                      -11.202623
                 3.45611                      -11.234353
                 3.45632                      -11.266232
               3.4565301                       -11.29826
               3.4567399                      -11.330436
