        Frequency / GHz                S1,1/abs,dB
               3.5978601                      -7.4068162
               3.5980699                      -7.3909542
                 3.59828                      -7.3751453
                 3.59849                      -7.3593903
                  3.5987                      -7.3436861
               3.5989101                      -7.3280354
               3.5991199                      -7.3124368
               3.5993299                      -7.2968898
                 3.59954                      -7.2813943
                 3.59975                      -7.2659511
               3.5999601                        -7.25056
               3.6001699                       -7.235219
               3.6003799                      -7.2199288
                 3.60059                      -7.2046896
                  3.6008                       -7.189501
               3.6010101                      -7.1743616
               3.6012199                      -7.1592723
               3.6014299                      -7.1442335
                 3.60164                      -7.1292445
                 3.60185                      -7.1143055
               3.6020601                      -7.0994135
               3.6022699                      -7.0845718
               3.6024799                      -7.0697802
                 3.60269                      -7.0550353
                  3.6029                      -7.0403389
               3.6031101                      -7.0256905
               3.6033199                      -7.0110914
               3.6035299                      -6.9965393
                 3.60374                      -6.9820339
                 3.60395                       -6.967577
               3.6041601                      -6.9531677
               3.6043701                      -6.9388038
               3.6045799                      -6.9244877
                 3.60479                      -6.9102184
                   3.605                      -6.8959952

